ID,rank,views,company,title,link,file_path,unique_article_ID,topic
2791,0,1465801,117,"[단독]""매니저도 안돼…"" 김종국, 강남 J호텔서 결혼식 마쳐",https://m.entertain.naver.com/ranking/article/117/0003985104,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250906_article_1.txt,2395,0
1561,0,1407990,415,"개그맨 부부 또 탄생…김준호♥김지민 앞서는 ""양세찬♥박나래 추천""",https://m.entertain.naver.com/ranking/article/415/0000037772,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250506_article_1.txt,1322,0
3381,0,1365407,76,"이천수♥심하은, 결혼 13년만 중대 결정..쌍둥이 남매 가정보육 ""봄까지 잘해보자""",https://m.entertain.naver.com/ranking/article/076/0004342941,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251104_article_1.txt,2899,0
1821,0,1357383,477,"[단독]이동건, '이혼' 후 16살 연하 강해림과 열애 심경 ""행복하다""",https://m.entertain.naver.com/ranking/article/477/0000552978,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250601_article_1.txt,1536,0
3071,0,1333708,312,"'나혼산' 멤버, 6년 만에 품절남 됐다…10월 결혼, 신혼집 최초 공개",https://m.entertain.naver.com/ranking/article/312/0000730424,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251004_article_1.txt,2631,0
3171,0,1823020,312,"신기루, 법정 구속됐다…""혐의 인정 못해"" 결국 상습 허언죄로 입소 ('배불리힐스')",https://m.entertain.naver.com/ranking/article/312/0000731345,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251014_article_1.txt,2715,1
3541,0,1409302,311,"""모두 진짜였다"" 이이경 사생활 루머 폭로자, 계정 삭제…'극심한 피해' 어쩌나 [엑's 이슈]",https://m.entertain.naver.com/ranking/article/311/0001944046,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251120_article_1.txt,3030,1
3511,0,1121204,76,"배정남, 산책 중 시신 발견해 119 신고 ""사고 장소에 소주 붓고 노잣돈 묻어"" ('미우새')",https://m.entertain.naver.com/ranking/article/076/0004347073,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251117_article_1.txt,3011,1
801,0,1102695,76,"♥하하 정관수술 했는데 '넷째 임신'이라니..별 ""원래 임신 잘되는 체질, 걱정 돼"" ('애라원')[종합]",https://m.entertain.naver.com/ranking/article/076/0004246310,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250219_article_1.txt,665,1
973,0,1099982,312,"최현석 셰프, 터질게 터졌다…""저 사람 양아치야"" 동료도 손절[페루밥]",https://m.entertain.naver.com/ranking/article/312/0000703348,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250308_article_3.txt,818,1
2861,0,1374750,312,"김대호, 제대로 사고쳤다…달동네 2억집 싹 고쳤는데 ""20박스 모래 부어"" ('나혼산')",https://m.entertain.naver.com/ranking/article/312/0000727582,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250913_article_1.txt,2447,2
3041,0,1343691,312,"""항의 빗발쳐""…김수용 영상, 결국 삭제됐다 ""한시간 만에 내려"" ('라스')",https://m.entertain.naver.com/ranking/article/312/0000730007,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251001_article_1.txt,2603,2
3181,0,1166046,76,"이수지, 백화점에서 연예인DC 요구 ""100만 원만 깎아달라 했다"" ('살롱드립')",https://m.entertain.naver.com/ranking/article/076/0004334624,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251015_article_1.txt,2725,2
931,0,1108671,312,"'47세' 장민호, 결국 고개 숙였다…상대는 15살 연하 女, ""사과 드리려 해"" ('세차JANG')",https://m.entertain.naver.com/ranking/article/312/0000702733,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250304_article_1.txt,783,2
811,0,1077716,312,"고현정 전남편, 결국 손절했다…""헤어지는 길, 욕심 버리지 못해"" ('라스')",https://m.entertain.naver.com/ranking/article/312/0000701289,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250220_article_1.txt,673,2
2491,0,1613144,410,"이수근, 병중 아내 곁 지킨 속 깊은 슬픔…김준호·김지민→신지도 조용한 위로",https://m.entertain.naver.com/ranking/article/410/0001082731,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250807_article_1.txt,2066,3
2871,0,1368448,477,"'전날도 소통했는데' 故오인혜, 36살로 떠났다…오늘(14일) 5주기",https://m.entertain.naver.com/ranking/article/477/0000568829,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250914_article_1.txt,2455,3
3261,0,1274500,144,"[단독] 박봄, 양현석 고소에 소속사 “우리도 컨트롤 안돼”",https://m.entertain.naver.com/ranking/article/144/0001075020,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251023_article_1.txt,2794,3
3581,0,1044754,108,"80세 임현식, 농약 먹고 충격 응급실行..""정신 잃었다""[알토란]",https://m.entertain.naver.com/ranking/article/108/0003386510,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20251124_article_1.txt,3067,3
1141,0,1000936,108,"김재중, 할아버지 된다 ""아이돌 최초..새 생명 생겨""",https://m.entertain.naver.com/ranking/article/108/0003314225,C:/Users/WINDOWS 11/Desktop/kpop_agenda/data\20250325_article_1.txt,959,3
